Customer ID,Recency,Frequency,Monetary,Segment,Cluster,Churn,CLV,Value_Segment,Engagement
12346.0,325,34,77556.46,At Risk,2,1,237.90325153374235,Low Value,Inactive
12347.0,1,222,4921.53,VIP Customer,2,0,2460.765,High Value,Recently Active
12348.0,74,51,2019.4,Active Customer,2,0,26.925333333333338,Low Value,Recently Active
12349.0,18,175,4428.69,VIP Customer,2,0,233.08894736842103,Low Value,Recently Active
12350.0,309,17,334.4,At Risk,0,1,1.0787096774193548,Low Value,Inactive
12351.0,374,21,300.93,At Risk,0,1,0.80248,Low Value,Inactive
12352.0,35,103,2849.84,Active Customer,2,0,79.16222222222223,Low Value,Recently Active
12353.0,203,24,406.76,At Risk,2,1,1.993921568627451,Low Value,Inactive
12354.0,231,58,1079.4,At Risk,2,1,4.652586206896552,Low Value,Inactive
12355.0,213,35,947.61,At Risk,2,1,4.4280841121495325,Low Value,Inactive
12356.0,22,142,6371.73,VIP Customer,2,0,277.03173913043474,Low Value,Recently Active
12357.0,32,296,18287.66,VIP Customer,2,0,554.1715151515151,Low Value,Recently Active
12358.0,1,77,3887.07,Active Customer,2,0,1943.535,High Value,Recently Active
12359.0,57,362,8873.39,VIP Customer,2,0,152.98948275862068,Low Value,Recently Active
12360.0,51,217,4252.89,VIP Customer,2,0,81.78634615384617,Low Value,Recently Active
12361.0,286,29,511.25,At Risk,0,1,1.7813588850174216,Low Value,Inactive
12362.0,2,267,5356.23,VIP Customer,2,0,1785.4099999999999,High Value,Recently Active
12363.0,109,23,552.0,Active Customer,2,0,5.018181818181818,Low Value,Inactive
12364.0,7,85,1313.1,Active Customer,2,0,164.1375,Low Value,Recently Active
12365.0,290,22,641.38,At Risk,0,1,2.2040549828178695,Low Value,Inactive
12366.0,633,3,500.24,At Risk,0,1,0.7890220820189274,Low Value,Inactive
12367.0,3,11,168.9,Active Customer,2,0,42.225,Low Value,Recently Active
12368.0,627,18,917.6999999999999,At Risk,0,1,1.4613057324840764,Low Value,Inactive
12369.0,412,93,1791.15,At Risk,0,1,4.336924939467313,Low Value,Inactive
12370.0,50,201,4316.56,VIP Customer,2,0,84.63843137254902,Low Value,Recently Active
12371.0,44,167,4067.38,VIP Customer,2,0,90.38622222222223,Low Value,Recently Active
12372.0,71,52,1298.04,Active Customer,2,0,18.028333333333332,Low Value,Recently Active
12373.0,310,51,1127.65,At Risk,0,1,3.6258842443729904,Low Value,Inactive
12374.0,24,83,2989.2200000000003,Active Customer,2,0,119.56880000000001,Low Value,Recently Active
12375.0,10,17,457.5,Active Customer,2,0,41.59090909090909,Low Value,Recently Active
12376.0,389,13,503.15,At Risk,0,1,1.290128205128205,Low Value,Inactive
12377.0,314,152,3426.32,VIP Customer,0,1,10.87720634920635,Low Value,Inactive
12378.0,129,301,5416.32,VIP Customer,2,0,41.664,Low Value,Inactive
12379.0,81,81,1620.22,Active Customer,2,0,19.75878048780488,Low Value,Recently Active
12380.0,21,277,9676.300000000001,VIP Customer,2,0,439.8318181818182,Low Value,Recently Active
12381.0,4,87,1845.31,Active Customer,2,0,369.062,Low Value,Recently Active
12383.0,184,99,1850.56,Active Customer,2,0,10.003027027027025,Low Value,Inactive
12384.0,28,27,585.27,Active Customer,2,0,20.181724137931035,Low Value,Recently Active
12385.0,378,65,1938.4,At Risk,0,1,5.114511873350923,Low Value,Inactive
12386.0,337,10,401.9,At Risk,0,1,1.1890532544378698,Low Value,Inactive
12387.0,414,9,143.94,At Risk,0,1,0.3468433734939759,Low Value,Inactive
12388.0,15,146,3901.11,VIP Customer,2,0,243.819375,Low Value,Recently Active
12389.0,402,49,1433.33,At Risk,0,1,3.5566501240694786,Low Value,Inactive
12390.0,79,32,549.84,Active Customer,2,0,6.873000000000001,Low Value,Recently Active
12391.0,21,267,2724.84,Active Customer,2,0,123.85636363636365,Low Value,Recently Active
12392.0,590,7,234.75000000000003,At Risk,0,1,0.3972081218274113,Low Value,Inactive
12393.0,71,107,2399.4500000000003,Active Customer,2,0,33.325694444444444,Low Value,Recently Active
12394.0,63,27,1272.48,Active Customer,2,0,19.8825,Low Value,Recently Active
12395.0,18,242,4721.17,VIP Customer,2,0,248.48263157894735,Low Value,Recently Active
12396.0,673,65,931.43,At Risk,0,1,1.3819436201780415,Low Value,Inactive
12397.0,35,126,2409.9,Active Customer,2,0,66.94166666666666,Low Value,Recently Active
12398.0,45,85,1635.6599999999999,Active Customer,2,0,35.55782608695652,Low Value,Recently Active
12399.0,118,110,1962.3,Active Customer,2,0,16.489915966386555,Low Value,Inactive
12400.0,413,11,205.25,At Risk,0,1,0.49577294685990336,Low Value,Inactive
12401.0,302,5,84.3,At Risk,0,1,0.2782178217821782,Low Value,Inactive
12402.0,322,70,1256.9,At Risk,0,1,3.8913312693498456,Low Value,Inactive
12403.0,49,9,1019.36,Active Customer,2,0,20.3872,Low Value,Recently Active
12404.0,681,1,63.24,At Risk,0,1,0.09272727272727273,Low Value,Inactive
12405.0,148,54,1710.39,Active Customer,2,0,11.479127516778524,Low Value,Inactive
12406.0,21,166,6390.36,VIP Customer,2,0,290.47090909090906,Low Value,Recently Active
12407.0,49,77,1708.1200000000001,Active Customer,2,0,34.162400000000005,Low Value,Recently Active
12408.0,32,159,4340.7699999999995,VIP Customer,2,0,131.53848484848484,Low Value,Recently Active
12409.0,78,264,23419.29,VIP Customer,2,0,296.4467088607595,Low Value,Recently Active
12410.0,308,40,1013.71,At Risk,0,1,3.280614886731392,Low Value,Inactive
12411.0,409,22,346.9,At Risk,0,1,0.8460975609756097,Low Value,Inactive
12412.0,74,127,2596.93,Active Customer,2,0,34.625733333333336,Low Value,Recently Active
12413.0,66,51,999.45,Active Customer,2,0,14.917164179104478,Low Value,Recently Active
12414.0,216,28,952.41,At Risk,2,1,4.388986175115207,Low Value,Inactive
12415.0,23,926,144458.37,VIP Customer,2,0,6019.098749999999,High Value,Recently Active
12416.0,656,11,202.56,At Risk,0,1,0.308310502283105,Low Value,Inactive
12417.0,2,369,6797.41,VIP Customer,2,0,2265.8033333333333,High Value,Recently Active
12418.0,112,102,2021.2,Active Customer,2,0,17.886725663716813,Low Value,Inactive
12419.0,385,25,503.01,At Risk,0,1,1.3031347150259067,Low Value,Inactive
12420.0,63,29,600.39,Active Customer,2,0,9.38109375,Low Value,Recently Active
12421.0,15,65,1098.6,Active Customer,2,0,68.6625,Low Value,Recently Active
12422.0,95,172,5231.8,VIP Customer,2,0,54.49791666666667,Low Value,Recently Active
12423.0,0,165,2622.39,Active Customer,2,0,2622.39,High Value,Recently Active
12424.0,162,92,3340.03,Active Customer,2,0,20.490981595092027,Low Value,Inactive
12425.0,77,91,1741.41,Active Customer,2,0,22.32576923076923,Low Value,Recently Active
12426.0,194,77,1345.21,Active Customer,2,0,6.8985128205128206,Low Value,Inactive
12427.0,21,31,825.8,Active Customer,2,0,37.53636363636364,Low Value,Recently Active
12428.0,25,294,7956.46,VIP Customer,2,0,306.0176923076923,Low Value,Recently Active
12429.0,8,153,6204.41,VIP Customer,2,0,689.3788888888888,High Value,Recently Active
12430.0,42,11,256.4,Active Customer,2,0,5.962790697674418,Low Value,Recently Active
12431.0,35,390,10432.22,VIP Customer,2,0,289.78388888888884,Low Value,Recently Active
12432.0,42,108,5059.32,Active Customer,2,0,117.65860465116278,Low Value,Recently Active
12433.0,0,559,16794.14,VIP Customer,2,0,16794.14,High Value,Recently Active
12434.0,84,70,1103.43,Active Customer,2,0,12.981529411764706,Low Value,Recently Active
12435.0,79,112,13925.93,Active Customer,2,0,174.074125,Low Value,Recently Active
12436.0,99,16,509.01,Active Customer,2,0,5.0901,Low Value,Inactive
12437.0,1,563,12683.4,VIP Customer,2,0,6341.7,High Value,Recently Active
12438.0,13,98,2906.85,Active Customer,2,0,207.63214285714284,Low Value,Recently Active
12439.0,682,71,1142.88,At Risk,0,1,1.673323572474378,Low Value,Inactive
12440.0,461,32,859.2,At Risk,0,1,1.85974025974026,Low Value,Inactive
12441.0,366,11,173.55,At Risk,0,1,0.4728882833787466,Low Value,Inactive
12442.0,2,12,172.06,Active Customer,2,0,57.35333333333333,Low Value,Recently Active
12443.0,731,21,485.31,At Risk,0,1,0.6629918032786886,Low Value,Inactive
12444.0,20,176,5005.46,VIP Customer,2,0,238.3552380952381,Low Value,Recently Active
12445.0,21,24,434.98,Active Customer,2,0,19.771818181818183,Low Value,Recently Active
12446.0,57,57,1002.3100000000001,Active Customer,2,0,17.281206896551726,Low Value,Recently Active
12447.0,242,26,476.49,At Risk,2,1,1.9608641975308645,Low Value,Inactive
12448.0,43,22,449.45,Active Customer,2,0,10.214772727272727,Low Value,Recently Active
12449.0,21,201,4835.89,VIP Customer,2,0,219.81318181818185,Low Value,Recently Active
12450.0,155,37,688.2,Active Customer,2,0,4.411538461538462,Low Value,Inactive
12451.0,10,511,12669.88,VIP Customer,2,0,1151.8072727272727,High Value,Recently Active
12452.0,16,22,430.57,Active Customer,2,0,25.32764705882353,Low Value,Recently Active
12453.0,133,43,707.09,Active Customer,2,0,5.276791044776121,Low Value,Inactive
12454.0,55,40,16679.78,Active Customer,2,0,297.8532142857143,Low Value,Recently Active
12455.0,72,227,5879.95,VIP Customer,2,0,80.5472602739726,Low Value,Recently Active
12456.0,43,125,3181.04,Active Customer,2,0,72.29636363636364,Low Value,Recently Active
12457.0,65,84,2995.91,Active Customer,2,0,45.392575757575756,Low Value,Recently Active
12458.0,70,84,1777.49,Active Customer,2,0,25.03507042253521,Low Value,Recently Active
12459.0,604,23,454.36,At Risk,0,1,0.7510082644628099,Low Value,Inactive
12460.0,455,18,326.65,At Risk,0,1,0.7163377192982455,Low Value,Inactive
12461.0,93,35,826.88,Active Customer,2,0,8.79659574468085,Low Value,Recently Active
12462.0,18,62,1189.59,Active Customer,2,0,62.60999999999999,Low Value,Recently Active
12463.0,52,83,1344.78,Active Customer,2,0,25.373207547169805,Low Value,Recently Active
12464.0,9,29,1212.05,Active Customer,2,0,121.205,Low Value,Recently Active
12465.0,16,47,742.1899999999999,Active Customer,2,0,43.658235294117645,Low Value,Recently Active
12466.0,681,1,56.73,At Risk,0,1,0.08318181818181818,Low Value,Inactive
12467.0,422,9,132.8,At Risk,0,1,0.31394799054373523,Low Value,Inactive
12468.0,187,150,3670.74,VIP Customer,2,0,19.525212765957445,Low Value,Inactive
12469.0,522,76,3070.54,At Risk,0,1,5.871013384321223,Low Value,Inactive
12470.0,689,23,211.95,At Risk,0,1,0.3071739130434783,Low Value,Inactive
12471.0,1,1135,39918.19,VIP Customer,2,0,19959.095,High Value,Recently Active
12472.0,31,841,16249.289999999999,VIP Customer,2,0,507.79031249999997,Low Value,Recently Active
12473.0,28,167,3928.0499999999997,VIP Customer,2,0,135.45,Low Value,Recently Active
12474.0,16,708,12372.75,VIP Customer,2,0,727.8088235294117,High Value,Recently Active
12475.0,53,61,1149.64,Active Customer,2,0,21.28962962962963,Low Value,Recently Active
12476.0,15,514,14083.91,VIP Customer,2,0,880.244375,High Value,Recently Active
12477.0,22,564,20276.37,VIP Customer,2,0,881.5813043478261,High Value,Recently Active
12478.0,3,36,680.99,Active Customer,2,0,170.2475,Low Value,Recently Active
12479.0,10,31,527.2,Active Customer,2,0,47.92727272727273,Low Value,Recently Active
12480.0,27,242,5464.85,VIP Customer,2,0,195.1732142857143,Low Value,Recently Active
12481.0,22,380,12185.51,VIP Customer,2,0,529.8047826086956,Low Value,Recently Active
12482.0,575,204,23691.4,VIP Customer,0,1,41.13090277777778,Low Value,Inactive
12483.0,16,138,5097.18,VIP Customer,2,0,299.83411764705886,Low Value,Recently Active
12484.0,32,471,6354.1,VIP Customer,2,0,192.54848484848486,Low Value,Recently Active
12485.0,528,34,708.1,At Risk,0,1,1.3385633270321362,Low Value,Inactive
12486.0,431,49,1037.28,At Risk,0,1,2.4011111111111108,Low Value,Inactive
12487.0,730,2,285.29999999999995,At Risk,0,1,0.39028727770177835,Low Value,Inactive
12488.0,9,55,1298.66,Active Customer,2,0,129.866,Low Value,Recently Active
12489.0,335,15,334.93,At Risk,0,1,0.9968154761904762,Low Value,Inactive
12490.0,4,462,9823.64,VIP Customer,2,0,1964.728,High Value,Recently Active
12491.0,38,26,460.40000000000003,Active Customer,2,0,11.805128205128206,Low Value,Recently Active
12492.0,62,42,715.21,Active Customer,2,0,11.352539682539682,Low Value,Recently Active
12493.0,165,22,433.74,Active Customer,2,0,2.6128915662650605,Low Value,Inactive
12494.0,15,108,1815.27,Active Customer,2,0,113.454375,Low Value,Recently Active
12495.0,640,17,357.4,At Risk,0,1,0.557566302652106,Low Value,Inactive
12496.0,619,10,45.34,At Risk,0,1,0.07312903225806452,Low Value,Inactive
12497.0,81,57,6248.5,Active Customer,2,0,76.20121951219512,Low Value,Recently Active
12498.0,20,23,403.70000000000005,Active Customer,2,0,19.22380952380952,Low Value,Recently Active
12499.0,559,27,393.72,At Risk,0,1,0.7030714285714286,Low Value,Inactive
12500.0,22,146,5955.21,VIP Customer,2,0,258.9221739130435,Low Value,Recently Active
12501.0,336,149,2169.39,At Risk,0,1,6.437359050445104,Low Value,Inactive
12502.0,95,147,3723.87,VIP Customer,2,0,38.7903125,Low Value,Recently Active
12503.0,583,2,1126.0,At Risk,0,1,1.9280821917808217,Low Value,Inactive
12504.0,17,20,779.05,Active Customer,2,0,43.28055555555555,Low Value,Recently Active
12505.0,408,42,955.2,At Risk,0,1,2.3354523227383863,Low Value,Inactive
12506.0,232,23,73.5,At Risk,2,1,0.315450643776824,Low Value,Inactive
12507.0,133,49,1844.06,Active Customer,2,0,13.761641791044774,Low Value,Inactive
12508.0,25,68,397.88,Active Customer,2,0,15.303076923076924,Low Value,Recently Active
12509.0,283,7,176.5,At Risk,0,1,0.6214788732394366,Low Value,Inactive
12510.0,142,145,5178.02,VIP Customer,2,0,36.209930069930074,Low Value,Inactive
